Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
89	-31.796406	9.334887	-20.711494	-51.784138	26.954546	-29.972223	0.47594485	-27.588457	-30.06805	54000	1.4305114e-08	89.952614	-0.02486801	-0.87442017	1.6008459	0.016526751	0.18333334	34.0	56.829792737960815
90	-26.244734	4.4282207	-19.106195	-33.955433	27.0	-30.23459	0.47688615	-27.846117	-30.330654	54600	-4.529953e-08	35.427578	-0.006314282	-4.718092	1.5662831	0.017218048	0.135	3.0	57.6785523891449
91	-29.113716	8.921459	-19.028006	-62.88025	27.0	-29.585173	0.46747205	-27.24382	-29.679144	55200	-3.059705e-08	77.42551	-0.00842352	-0.14389038	1.571769	0.015851317	0.17166667	5.0	58.22599792480469
92	-33.073868	7.598452	-19.64247	-57.43354	27.181818	-29.423626	0.4635208	-27.102077	-29.516909	55800	1.9073486e-08	72.59294	-0.02631826	-4.587448	1.5159754	0.016983675	0.31	18.0	58.77817988395691
93	-27.440844	6.546483	-18.06	-41.126396	27.045454	-30.102545	0.469179	-27.752642	-30.196884	56400	-2.9702981e-08	49.680847	-0.019428141	-2.117344	1.5516183	0.016624397	0.16333333	17.0	59.33459258079529
94	-28.176073	7.0873184	-18.425552	-42.1268	27.09091	-29.665333	0.4620122	-27.35135	-29.758406	57000	1.5099843e-08	52.46018	-0.004411699	-0.8653679	1.4292835	0.02626775	0.22	3.0	59.877496004104614
95	-65.69373	175.0426	-19.966818	-886.4	25.913044	-29.324024	0.46540114	-27.044123	-29.419828	57600	4.7683715e-09	1256.3356	-0.00980631	-0.5284424	1.4401742	0.0041237967	0.108333334	79.0	60.5294349193573
96	-28.05005	5.921874	-18.80779	-47.84328	26.954546	-29.387968	0.42504284	-27.259123	-29.47343	58200	-2.1457673e-08	36.510494	-0.00696883	-0.67484665	1.3856357	0.024623161	0.24333334	4.0	61.07396483421326
97	-28.415405	8.926271	-19.902985	-51.262943	27.0	-29.110085	0.4166332	-27.023373	-29.193928	58800	7.947286e-10	79.85851	-0.020537237	-0.20993042	1.4168323	0.018894738	0.17333333	10.0	61.559178829193115
98	-27.709837	7.4396515	-18.902443	-50.89433	27.045454	-28.933268	0.41287786	-26.865376	-29.01642	59400	2.5133291e-08	57.25276	-0.0058292034	-0.5882492	1.3749074	0.0106286295	0.09	4.0	62.066645860672
99	-31.672436	10.745201	-21.997906	-73.12636	26.90909	-28.650463	0.40800357	-26.60696	-28.732506	60000	-1.4702479e-08	122.921616	-0.0072164456	-3.5341034	1.3734745	0.01852896	0.083333336	4.0	62.56822061538696
100	-27.220543	7.3411784	-18.85036	-55.54496	27.045454	-29.325855	0.4133217	-27.255724	-29.408974	60600	-2.404054e-08	59.06511	-0.028440721	-1.5993538	1.3213952	0.0014018051	0.175	79.0	63.532302379608154
101	-65.11266	175.19096	-20.05919	-886.4	25.782608	-28.884798	0.41507077	-26.851421	-28.970043	61200	-6.357829e-09	1265.7207	-0.010179945	-0.4794922	1.2832795	0.0059012054	0.093333334	79.0	64.18210673332214
102	-29.558668	9.75744	-19.41591	-55.24335	26.954546	-28.899109	0.3753996	-27.018925	-28.974705	61800	-1.07288365e-08	93.51032	-0.032170463	-0.17286682	1.3010664	0.0015634958	0.135	79.0	64.83251285552979
103	-26.638134	5.9122186	-19.428593	-44.684513	27.0	-29.062695	0.37185174	-27.200287	-29.137602	62400	3.4968057e-08	40.71545	-0.025320364	-2.6439056	1.3556826	0.014550387	0.17333333	60.0	65.48160338401794
104	-27.24981	6.477227	-19.481619	-43.446728	27.0	-28.425476	0.36386362	-26.603062	-28.498714	63000	2.22524e-08	43.04247	-0.008260005	-0.7486267	1.2810028	0.01762548	0.095	6.0	66.05068278312683
105	-31.997034	9.654205	-21.58539	-63.94446	27.0	-28.042397	0.35841772	-26.24724	-28.114426	63600	-1.6887983e-08	106.07966	-0.027707802	-7.3114243	1.3475264	0.010060328	0.108333334	79.0	66.74162340164185
106	-28.338665	6.560917	-19.808857	-43.258858	27.09091	-29.14069	0.3676627	-27.299236	-29.214607	64200	2.324581e-08	43.886505	-0.031947266	-0.18648529	1.3613411	0.011479179	0.14	79.0	67.28228235244751
107	-26.005983	5.349879	-18.13691	-40.599445	27.045454	-29.006165	0.36456072	-27.180262	-29.07957	64800	-4.8279762e-08	37.39386	-0.018960394	-4.700428	1.2249346	0.016080052	0.17	13.0	67.79568815231323
108	-25.338264	4.28233	-19.010624	-35.99032	27.0	-28.06765	0.35352322	-26.297035	-28.138851	65400	7.947286e-10	25.668823	-0.0061631226	-4.1711006	1.1732879	0.009901249	0.075	3.0	68.31190180778503
109	-26.218962	6.1764174	-18.649754	-45.207253	27.0	-27.136705	0.3425055	-25.421274	-27.205688	66000	7.152557e-09	38.72251	-0.015074756	-0.5306549	1.2419425	0.01466837	0.17	14.0	68.82688188552856
110	-63.70642	175.48299	-18.509708	-886.4	25.913044	-26.77111	0.34415966	-25.085144	-26.841946	66600	3.6557516e-08	1267.5394	-0.01026374	-0.91101074	1.2975127	0.004371949	0.096666664	79.0	69.8555555343628
111	-26.293913	7.874858	-18.25507	-48.71572	27.0	-27.067596	0.30979577	-25.515984	-27.12996	67200	-7.90755e-08	61.87396	-0.02914761	-0.32904816	1.3497798	0.014140478	0.18833333	79.0	70.50609636306763
112	-27.232185	4.72869	-18.853111	-37.7574	27.0	-26.81801	0.3027845	-25.301537	-26.879078	67800	5.8809917e-08	22.39706	-0.0314922	-0.088560104	1.3689725	-0.0034585341	0.195	79.0	71.16074991226196
113	-24.246696	3.5464818	-17.310373	-35.00401	27.0	-26.945704	0.3027024	-25.42962	-27.006643	68400	-3.7153562e-08	19.766212	-0.025651488	-4.311434	1.2902287	0.0057534883	0.16166666	79.0	71.8086748123169
114	-26.0208	5.159974	-20.04889	-39.69381	27.0	-25.957026	0.29223853	-24.493355	-26.015858	69000	5.9604645e-08	26.448751	-0.016661989	0.006795883	1.3576925	0.017101228	0.125	11.0	72.3555645942688
115	-26.288593	5.036439	-18.519413	-33.952892	27.0	-25.91204	0.290574	-24.456705	-25.97055	69600	-9.641051e-08	25.33545	-0.019912157	-0.09035683	1.2109205	0.015586383	0.12166667	44.0	72.88298559188843
116	-26.554415	5.1729016	-18.910097	-41.401436	27.0	-26.064062	0.29070327	-24.608091	-26.122658	70200	-1.4305114e-08	26.811644	-0.0253021	-0.15870667	1.3140619	0.0049085775	0.17166667	79.0	73.48991966247559
